avgPrice,TOWN,avgAtt8,avg_upl_speed,avg_down_speed,crimerate,zDownSpeed,zUpSpeed,zAttain8,zHousingPrice,zCrimeRate,points,normDownSpeed,normUpSpeed,normAtt8,normHousingPrice,normCrimeRate,finalPoints
301707.1868131868,SALTASH,42.65,6.371744471744472,49.86904176904177,836,1.94232888163066,1.4786713695217424,-0.3379274321139496,-0.7373937477087431,-0.33048677330195153,4.150953340049147,0.6097985046494139,1,0.3799144709615117,0.8606075849791641,0.9366469224826165,3.7869674830727065
325660.36946564884,ST AUSTELL,47.266666666666666,6.302915766738661,30.580669546436287,2744,0.21915747346067382,1.409520009698836,1.0333638062588848,-0.5096600994404394,0.4471245974574937,2.72457679140134,0.205419759017726,0.9761763491611285,0.7747735319814227,0.8017911759633876,0.772856039144991,3.531016855268656
510935.35622317594,ST IVES,49.9,6.2425,30.63361111111111,627,0.22388713076397515,1.3488210262678795,1.8155443682188406,1.2518322783925508,-0.41566537733168113,2.552085624189825,0.20652967349199639,0.9552646651214092,1,0.3468533265914916,0.954588376684694,3.4632360418895907
385197.375,TORPOINT,43.6,5.911877394636015,29.018773946360152,524,0.0796219123704835,1.016648530109751,-0.055748368622065884,0.05638490902587178,-0.45764334965255266,1.4417805144848495,0.17267477793392966,0.8408264011882929,0.46116705752517595,0.6555996272289226,0.9634303373680144,3.0936982012443357
333197.96744186047,LOOE,40.8,5.5444,27.6896,330,-0.039122920755870184,0.6474484770052533,-0.8874340294402482,-0.43799677556368444,-0.5367086567423495,0.6955969591151688,0.14480878245477175,0.713631604478875,0.22168574975858701,0.7832828026921729,0.9800841273929093,2.843493066777316
431010.9349112426,HELSTON,47.475,5.003300330033003,24.443399339933993,1361,-0.32912977556202805,0.10381224304175377,1.0952451798316667,0.4919549662547133,-0.11652138040430543,0.4944940614609845,0.07675251851313114,0.5263410023204581,0.7925920816664369,0.5431056377117733,0.8915786762812259,2.8303699164930256
295858.82635983266,REDRUTH,42.875,5.241359773371105,26.062464589235127,2542,-0.1844868314421712,0.34298766010247067,-0.2710955486553453,-0.7929967329885932,0.3647988653330661,0.3156031476604812,0.1106960554302038,0.6087404177461042,0.399158504621327,0.874968080011786,0.7901965833977165,2.7837596412071375
335319.34965034964,PENRYN,47.75,3.836792452830189,23.28254716981132,573,-0.4328371929418687,-1.0681639832419778,1.1769285929477378,-0.41782784366347814,-0.437673246315439,0.5314285067428085,0.05241537181145787,0.12257811930636026,0.8161125672506553,0.7780738045617943,0.9592239677225513,2.728403830652819
475156.86666666664,BUDE,46.45,5.022222222222222,24.130623306233062,773,-0.3570723469835087,0.12282283717099773,0.7907888218535831,0.9116701348288949,-0.35616262044966907,0.0010317976618463565,0.07019520104165441,0.5328904289396087,0.7049248172161681,0.434706465201698,0.9420551120267834,2.6847720244259126
276914.9739130435,LISKEARD,42.25,4.691,24.4738,1110,-0.32641386218112367,-0.2099520867259115,-0.4567396693736893,-0.9731044327693692,-0.2188172158658467,0.19881603035449139,0.07738986523383885,0.41824461987446443,0.3457028555662849,0.9214842106659455,0.9131255901794145,2.675947141519948
277289.94,CAMELFORD,40.6,4.785365853658536,23.896341463414632,199,-0.37800245805451743,-0.11514386534812643,-0.946840148070117,-0.9695394620429962,-0.5900981166844288,0.11965110725466421,0.06528350623247993,0.4509074332817953,0.2045799420609739,0.9205634913169778,0.9913297278736373,2.632664100765864
244939.15161290322,CAMBORNE,46.25,3.513785557986871,20.92363238512035,2019,-0.6435763089428073,-1.392685067994396,0.7313827032237121,-1.2771129135814774,0.1516485786940777,-0.1794143388260915,0.002960965256225762,0.010775878066377169,0.6878190095185543,1,0.8350931410421496,2.536648993883307
357316.84,HAYLE,42.6,4.519494584837545,23.2028880866426,706,-0.4399537216428496,-0.38226148401116555,-0.35277896177141627,-0.20868783906547647,-0.383468680114702,-0.5828376482452529,0.050745327301834314,0.3588815223490778,0.3756380190371086,0.724059546477696,0.9478066786848657,2.4571310938505824
558521.6666666666,FOWEY,38.35,6.1883495145631064,30.874757281553396,98,0.2454304824423938,1.2944166944892193,-1.6151589826561554,1.7042566698464492,-0.6312609827466427,-1.1483074928243489,0.2115852782258708,0.936521580274832,0.01213960546282236,0.23000639484113472,1,2.39025285880466
305634.0445859873,CALLINGTON,42.25,3.992079207920792,22.526732673267325,467,-0.500359631605647,-0.9121492757722491,-0.4567396693736893,-0.7000593500294985,-0.4808738780242971,-0.68831534869779,0.036569798399902216,0.17632745881329354,0.3457028555662849,0.8509652891614067,0.9683234612413083,2.3778888631821955
461164.9653526604,BRISTOL,38.208064516129035,5.923296853625171,68.48117647058824,11747,3.605087044557744,1.0281215211746764,-1.6573181636192886,0.7786428549604639,4.116325420805128,-1.9190778736524603,1,0.8447790137458515,0,0.469063210296212,0,2.3138422240420633
310922.9141630901,LAUNCESTON,44.650000000000006,3.48265306122449,20.782397959183672,1237,-0.6561938135105675,-1.4239635075004002,0.25613375418475326,-0.6497756953901821,-0.16705796844108278,-1.0071899029949498,0,0,0.550972547937647,0.8379786092370166,0.902223366812602,2.2911745239872654
350225.5343811395,PENZANCE,44.31666666666666,4.022876557191393,22.37836919592299,2624,-0.5136140264931955,-0.8812075548605565,0.15712355646830034,-0.2761080613799687,0.3982182219380318,-1.359808185443515,0.03345937331199638,0.18698733241869728,0.5224628684416238,0.7414720606219032,0.7831573525624518,2.2675389873566725
